,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
MPO,0.0,0.0,0.0116817808651926,0.0,0.9994332125595268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0763735237710469,0.0,0.0,0.0,0.0,0.0,0.0330071156410202,0.2553654754721371,0.0
SMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9511391270618942,0.9999662928677656,0.0,0.0,0.0,0.0,0.0,0.0816916083036935,0.0
CD38,0.0,0.9989515151652628,0.0,0.0,0.0,0.0,0.0,0.0,0.9907143260826944,0.0,0.0,0.0,0.12018888959776,0.0082105498170384,0.2897680138533049,0.08835342248896,0.0,0.0,0.1151101637112253,0.4180948321673591,0.0
CD68,0.0,0.0,0.9999317656699468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1025885792822301,0.0
CD163,0.0,0.0,0.0,0.0,0.0,0.995775458822384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0160784278088364,0.0
CD20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9959614032664308,0.0,0.0,0.0,0.0,0.0
CD3,0.2923626634850576,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0818708774295828,0.0,0.0,0.0,0.0,0.0,0.015954809245164,0.0,0.8159703179327213,0.0,0.0840028169903781,0.0
DC-LAMP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997993753972408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9966429448046628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0521568338611382,0.0
GranzymeB,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2773983994417389,0.0
Ki-67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9868900078676692,0.0,0.0
CD8a,0.956307520100058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOXP3,0.0,0.0457806765898632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0132681587349187,1.0,0.1879790405407517,0.0,0.9570969115755786,0.0,0.0,0.0,0.0926922272849695,0.4953507854656711,0.0
CD303,0.0,0.0,0.0,0.0,0.0336638327132202,0.0,1.0,0.0,0.1359600091737005,0.0,0.0619065666617532,0.0,0.1992986627485669,0.0,0.0,0.0,0.0,0.0,0.0558251188922912,0.5603184107369985,0.0
CD4,0.0,0.0,0.0,0.0,0.0,0.0918217599867836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5780937988361178,0.0,0.2184221995701884,0.0
CD31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.220827249255373,1.0
